CD_BAIRRO,NM_BAIRRO,V05000,V05001,V05002,V05003,V05004,V05005,V05006,V05007,V05008,V05009,V05010,V05011,V05012,V05013,V05014,V05015,V05016,V05017,V05018,V05019,V05020,V05021,V05022,V05023,V05024,V05025,V05026,V05027,V05028,V05029,V05030,V05031,V05032,V05033,V05034
3304557065,Vista Alegre,2762,2746,16,0,0,0,2762,0,0,2661,101,0,2762,0,0,463,2299,0,0,2762,0,2762,0,0,2488,274,0,96,2666,0,279,390,561,1532,0
3304557066,Irajá,34100,30517,2334,1244,0,5,33787,308,5,32816,1279,5,33450,645,5,8458,25637,5,115,33980,5,33193,902,5,13811,19382,907,11712,21481,907,5310,7491,6901,14393,5
3304557067,Colégio,10019,6223,1719,1951,0,126,9279,614,126,8739,1154,126,9347,546,126,1709,8184,126,0,9893,126,7627,2266,126,4460,3167,2392,3143,4484,2392,3250,1786,2440,2417,126
3304557068,Campinho,3406,3031,85,290,0,0,3331,75,0,3125,281,0,3378,28,0,692,2714,0,16,3390,0,3052,354,0,746,2306,354,1051,2001,354,796,315,194,2101,0
3304557069,Quintino Bocaiúva,9764,8444,601,588,0,131,9372,261,131,8648,985,131,9507,126,131,1388,8245,131,0,9633,131,8738,895,131,4516,4222,1026,1340,7398,1026,2347,1645,1016,4625,131
3304557070,Cavalcanti,5421,4206,888,325,0,2,5180,239,2,4781,638,2,5392,27,2,1166,4253,2,0,5419,2,4835,584,2,2010,2825,586,2656,2179,586,1887,518,309,2705,2
3304557071,Engenheiro Leal,1681,1575,84,14,0,8,1451,222,8,1385,288,8,1673,0,8,302,1371,8,0,1673,8,1358,315,8,640,718,323,663,695,323,765,249,217,442,8
3304557072,Cascadura,10354,8285,1012,978,0,79,10047,228,79,8571,1704,79,10097,178,79,2631,7644,79,36,10239,79,9117,1158,79,5101,4016,1237,3520,5597,1237,3959,1276,978,4062,79
3304557073,Madureira,15581,12240,1329,1620,0,392,15087,102,392,14258,931,392,14993,196,392,3278,11911,392,0,15189,392,12079,3110,392,6457,5622,3502,3023,9056,3502,6500,3414,1355,3920,392
3304557074,Vaz Lobo,4361,3993,128,239,0,1,4349,11,1,4219,141,1,4356,4,1,1217,3143,1,0,4360,1,3916,444,1,1445,2471,445,1423,2493,445,866,841,767,1886,1
3304557075,Turiaçu,4442,4025,394,0,0,23,4419,0,23,4388,31,23,4419,0,23,709,3710,23,0,4419,23,4066,353,23,3109,957,376,523,3543,376,889,804,1044,1682,23
3304557076,Rocha Miranda,13946,11189,2175,581,0,1,13834,111,1,13085,860,1,13890,55,1,3236,10709,1,0,13945,1,13274,671,1,11119,2155,672,877,12397,672,2027,2892,2800,6226,1
3304557077,Honório Gurgel,6850,5869,497,484,0,0,6850,0,0,6101,749,0,6807,43,0,888,5962,0,0,6850,0,6131,719,0,5155,976,719,2771,3360,719,1985,1305,1351,2209,0
3304557078,Oswaldo Cruz,11622,10472,1057,57,0,36,11586,0,36,9848,1738,36,11395,191,36,707,10879,36,0,11586,36,10913,673,36,6930,3983,709,1765,9148,709,3149,1975,1830,4632,36
3304557079,Bento Ribeiro,14446,13702,694,49,0,1,14445,0,1,13491,954,1,14385,60,1,2009,12436,1,54,14391,1,14340,105,1,10161,4179,106,346,13994,106,2910,2606,2629,6300,1
3304557080,Marechal Hermes,15717,12192,2359,1153,0,13,15650,54,13,14939,765,13,15605,99,13,2675,13029,13,114,15590,13,13424,2280,13,9267,4157,2293,1434,11990,2293,5025,2811,2512,5356,13
3304557081,Jacarepaguá,83098,49252,13988,18965,0,893,76291,5914,893,59489,22716,893,78422,3783,893,9545,72660,893,7122,75083,893,50966,31239,893,33523,17443,32132,15074,35892,32132,39492,6690,4856,31167,893
3304557082,Anil,11970,10420,1297,253,0,0,11962,8,0,11716,254,0,11293,677,0,2679,9291,0,1113,10857,0,11198,772,0,6256,4942,772,2797,8401,772,3288,1061,1849,5772,0
3304557083,Gardênia Azul,8220,5573,2424,223,0,0,8220,0,0,7917,303,0,8213,7,0,198,8022,0,283,7937,0,6125,2095,0,5131,994,2095,39,6086,2095,3092,1597,959,2572,0
3304557084,Cidade de Deus,11248,6810,4041,397,0,0,11136,112,0,10380,868,0,11060,188,0,849,10399,0,42,11206,0,10657,591,0,9562,1095,591,49,10608,591,7708,1651,726,1163,0
3304557085,Curicica,11138,7911,2940,287,0,0,10810,328,0,9804,1334,0,11040,98,0,823,10315,0,213,10925,0,9807,1331,0,5234,4573,1331,1673,8134,1331,1844,1587,1856,5851,0
3304557086,Freguesia (Jacarepaguá),29719,28317,721,671,0,10,29575,134,10,27622,2087,10,29584,125,10,7110,22599,10,390,29319,10,28793,916,10,15778,13015,926,6359,22434,926,2784,1693,2648,22584,10
3304557087,Pechincha,15016,14004,815,197,0,0,14768,248,0,14381,635,0,14896,120,0,4531,10485,0,2992,12024,0,14333,683,0,10433,3900,683,3817,10516,683,2254,1866,1689,9207,0
3304557088,Taquara,41849,35168,5080,1022,0,579,41255,15,579,38811,2459,579,40813,457,579,9629,31641,579,2541,38729,579,38707,2563,579,22032,16675,3142,7465,31242,3142,8696,6267,6188,20119,579
3304557089,Tanque,14050,11924,1470,656,0,0,13746,304,0,10186,3864,0,13859,191,0,2927,11123,0,10,14040,0,12274,1776,0,10385,1889,1776,1326,10948,1776,2932,2508,1631,6979,0
